Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
opel corsa 2005,1,1,720,24,0.15,https://llantasneumaticos.com/size/opel/corsa/2005/,29,0.34,4.00,0.06,63400000,"[48,59,72,72,72,72,72,72,88,88,72,59]",2026-02-04,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",Image pack
renault fluence,2,2,1300,24,0.23,https://llantasneumaticos.com/size/renault/fluence/2017/,28,0.33,6.00,0.59,25600000,"[44,44,34,34,44,44,44,44,44,44,55,34]",2026-02-10,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
audi a3 sedán 2025,1,1,210,25,0.21,https://llantasneumaticos.com/size/audi/a3/2025/,27,0.32,5.00,0.6,23500000,"[0,0,0,5,82,66,82,100,100,100,100,0]",2026-02-04,"Image pack, Image, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
grand vitara suzuki 2007,1,1,590,21,0.03,https://llantasneumaticos.com/size/suzuki/grand-vitara/2007/,25,0.29,0.00,0.21,56900000,"[81,81,100,81,81,81,81,81,81,81,81,81]",2026-03-24,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
nissan sx240,2,2,1900,23,0.00,https://llantasneumaticos.com/size/nissan/240sx/,25,0.29,0.00,0,40000,"[79,100,100,24,54,41,100,30,100,100,79,66]",2026-02-13,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
focus ford 2000,1,1,590,21,0.10,https://llantasneumaticos.com/size/ford/focus/2000/,24,0.28,2.00,0.04,406000000,"[72,88,88,88,59,100,72,88,0,48,72,0]",2026-02-10,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
renault megane 2000,1,1,590,21,0.00,https://llantasneumaticos.com/size/renault/megane/2000/,24,0.28,0.00,0.04,63300000,"[66,81,81,81,81,66,66,100,81,66,81,66]",2026-02-02,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
toyota 1990 hilux,1,1,590,24,0.00,https://llantasneumaticos.com/size/toyota/hilux/1990/,24,0.28,0.00,0,26100000,"[81,81,66,81,66,66,66,81,81,81,100,81]",2026-02-09,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
renault 2007 scenic,1,1,590,21,0.14,https://llantasneumaticos.com/size/renault/scenic/2007/,24,0.28,3.00,0.54,17800000,"[81,81,81,100,100,81,81,81,81,81,81,54]",2026-02-02,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Image pack
kia sportage 2017,1,4,590,0,0.14,https://llantasneumaticos.com/size/kia/sportage/2017/,24,0.28,3.00,0.95,0,"[81,100,100,66,81,100,100,100,66,81,66,66]",2026-03-30,Image pack,informational,Image pack
suzuki 2000 vitara,1,1,590,20,0.06,https://llantasneumaticos.com/size/suzuki/grand-vitara/2000/,24,0.28,1.00,0.03,50900000,"[81,81,81,81,81,66,54,81,81,81,81,66]",2026-03-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
citroën c5 2005,1,1,590,21,0.20,https://llantasneumaticos.com/size/citroen/c5/2005/,24,0.28,4.00,0.11,6400000,"[81,81,81,81,81,81,19,81,54,66,81,66]",2026-02-06,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
civic honda 2000,1,1,590,24,0.27,https://llantasneumaticos.com/size/honda/civic/2000/,24,0.28,6.00,0.02,165000000,"[0,0,0,0,82,0,82,100,0,0,0,0]",2026-02-11,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
ford fiesta 2004,1,1,590,22,0.15,https://llantasneumaticos.com/size/ford/fiesta/2004/,24,0.28,3.00,0.08,75200000,"[67,81,67,67,67,67,67,81,81,100,81,67]",2026-02-03,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
a3 2000 audi,1,1,590,20,0.01,https://llantasneumaticos.com/size/audi/a3/2000/,24,0.28,0.00,0.01,30100000,"[81,67,100,81,67,67,67,67,67,67,67,67]",2026-02-06,"Image pack, Video, Image, People also ask, Related searches, AI overview","informational, transactional",Image pack
citroen 2006 c3,1,1,590,17,0.22,https://llantasneumaticos.com/size/citroen/c3/2006/,24,0.28,5.00,0.18,0,"[67,67,100,67,67,67,67,67,67,67,67,67]",2026-03-19,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Image pack
evoque range rover 2018,1,1,170,25,0.49,https://llantasneumaticos.com/size/land-rover/range-rover-evoque/2018/,22,0.26,10.00,0.93,21600000,"[65,65,65,65,80,65,65,80,65,65,80,80]",2026-02-04,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Image pack
llantas neumatico,1,1,90,31,0.16,https://llantasneumaticos.com/,22,0.26,3.00,0.92,0,"[0,0,0,2,0,0,1,100,2,1,1,3]",2026-03-18,"Image pack, Video, Video Carousel, Related searches",informational,Organic
mercedes benz w246,1,1,170,22,0.00,https://llantasneumaticos.com/size/mercedes/b-class/w246-2012-2018/,22,0.26,0.00,0.98,0,"[80,66,80,80,100,80,80,80,80,80,66,80]",2026-03-15,"Image pack, Video, Image, Related searches",informational,Image pack
golf 1998,1,1,170,25,0.00,https://llantasneumaticos.com/size/volkswagen/golf/1998/,22,0.26,0.00,0.01,0,"[100,81,81,81,43,28,43,43,34,34,43,34]",2026-03-17,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Image pack
audi a3 2015,1,1,1000,19,0.07,https://llantasneumaticos.com/size/audi/a3/2015/,22,0.26,1.00,0.84,123,"[76,76,55,100,45,100,100,100,100,100,67,76]",2026-03-11,"Image pack, Video, Image, Related searches",informational,Image pack
medidas de llantas y bujes,1,1,170,8,0.00,https://llantasneumaticos.com/pcd/,22,0.26,0.00,0.06,2110000,"[43,53,53,53,43,28,35,35,43,35,43,35]",2026-02-04,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
volkswagen polo 2000,1,1,480,22,0.00,https://llantasneumaticos.com/size/volkswagen/polo/2000/,19,0.22,0.00,0.02,101000000,"[66,81,66,100,66,100,66,81,100,81,81,54]",2026-01-31,"Image pack, Image, People also ask, Related searches",informational,Image pack
renault clio 2000,1,1,480,22,0.24,https://llantasneumaticos.com/size/renault/clio/2000/,19,0.22,4.00,0.01,83300000,"[66,66,100,81,81,81,81,100,81,100,100,66]",2026-02-13,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
jetta 95,1,1,480,24,0.00,https://llantasneumaticos.com/size/volkswagen/jetta/1995/,19,0.22,0.00,0,59700000,"[100,81,66,81,81,81,66,66,66,81,100,66]",2026-02-08,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
audi 2000 a3,1,1,480,18,0.05,https://llantasneumaticos.com/size/audi/a3/2000/,19,0.22,0.00,0.01,0,"[0,100,81,67,67,67,67,67,67,67,67,0]",2026-03-11,"Image pack, Video, Image, Related searches",informational,Image pack
vitara 2005,1,1,480,,0.02,https://llantasneumaticos.com/size/suzuki/grand-vitara/2005/,19,0.22,0.00,0.15,43100000,"[66,81,81,100,81,66,54,66,66,66,81,66]",2026-02-04,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
seat león 2005,1,1,320,18,0.12,https://llantasneumaticos.com/size/seat/leon/2005/,19,0.22,2.00,0.11,0,"[32,7,100,9,9,32,26,32,32,26,21,21]",2026-03-11,"Image pack, Video, Image, Related searches",informational,Image pack
auto golf 2000,1,1,480,22,0.00,https://llantasneumaticos.com/size/volkswagen/golf/2000/,19,0.22,0.00,0.04,151000000,"[81,81,81,100,81,81,36,36,36,81,81,81]",2026-01-29,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
volkswagen polo 00,1,1,480,,0.00,https://llantasneumaticos.com/size/volkswagen/polo/2000/,19,0.22,0.00,0.02,47300000,"[81,81,81,100,81,100,81,100,100,100,100,66]",2026-01-31,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
renault symbol,1,1,480,25,0.55,https://llantasneumaticos.com/size/renault/symbol/2003/,19,0.22,10.00,0.36,72700000,"[32,39,32,32,39,48,59,72,59,48,39,39]",2026-01-31,"Image pack, Video, Image, Ads top, People also ask, Related searches",informational,Image pack
land rover 2010,1,1,140,25,0.18,https://llantasneumaticos.com/size/land-rover/range-rover-sport/2010/,18,0.21,3.00,0.34,99000000,"[100,64,82,82,52,64,64,82,64,64,100,82]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Image pack
medidas en las llantas,2,2,210,9,0.00,https://llantasneumaticos.com/?nocache=1,17,0.2,0.00,0.1,0,"[81,81,81,65,81,53,53,53,53,65,43,43]",2026-03-11,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
medida en llantas,2,2,210,22,0.00,https://llantasneumaticos.com/,17,0.2,0.00,0.1,28300000,"[66,66,66,53,66,43,43,43,43,53,35,35]",2026-03-27,"Image pack, Video, Image, Related searches, Short videos",informational,Organic
medidas de llantas por marca y modelo,1,1,70,8,0.00,https://llantasneumaticos.com/size/,17,0.2,0.00,0.08,15200000,"[64,78,78,64,35,50,35,35,35,50,35,14]",2026-03-01,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
llanta medida,2,2,210,9,0.00,https://llantasneumaticos.com/?nocache=1,17,0.2,0.00,0.1,212,"[81,81,81,65,81,53,53,53,53,65,43,43]",2026-03-11,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",informational,Organic
accent 00,1,1,390,20,0.00,https://llantasneumaticos.com/size/hyundai/accent/2000/,16,0.19,0.00,0.05,189000000,"[81,100,81,100,66,81,81,81,81,81,100,81]",2026-02-05,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",Image pack
2018 toyota vitz,1,1,390,25,0.17,https://llantasneumaticos.com/size/toyota/vitz/2018/,16,0.19,2.00,0.92,12200000,"[81,100,81,81,81,81,81,81,81,81,81,66]",2026-02-24,"Image pack, Video, Image, People also ask",informational,Image pack
civic honda 2002,1,1,390,21,0.00,https://llantasneumaticos.com/size/honda/civic/2002/,16,0.19,0.00,0.02,149000000,"[66,66,66,81,66,66,66,66,66,81,100,66]",2026-02-06,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
civic 02,1,1,390,,0.00,https://llantasneumaticos.com/size/honda/civic/2002/,16,0.19,0.00,0.02,160000000,"[66,66,66,81,66,66,66,66,81,81,100,66]",2026-02-03,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
honda civic 14,1,1,390,20,0.04,https://llantasneumaticos.com/size/honda/civic/2014/,16,0.19,0.00,0.62,174000000,"[54,100,81,81,66,81,66,81,81,81,66,54]",2026-02-02,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
vw jetta 1995,1,1,390,,0.00,https://llantasneumaticos.com/size/volkswagen/jetta/1995/,16,0.19,0.00,0,37100000,"[100,81,54,66,66,66,81,66,66,81,81,54]",2026-02-03,"Image pack, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
fiat linea,1,1,590,18,0.26,https://llantasneumaticos.com/size/fiat/linea/323-2019-2023/,16,0.19,4.00,0.59,0,"[36,36,45,30,45,30,45,36,36,36,36,30]",2026-03-17,"Image pack, Video, Image, Related searches, AI overview",informational,Image pack
clio renault 2000,1,1,390,18,0.00,https://llantasneumaticos.com/size/renault/clio/2000/,16,0.19,0.00,0.01,0,"[0,0,0,81,81,66,81,81,81,81,12,66]",2026-03-08,"Image pack, Video, Image, Related searches",informational,Image pack
scenic renault 2004,1,1,390,21,0.21,https://llantasneumaticos.com/size/renault/scenic/2004/,16,0.19,3.00,0.25,36000000,"[66,81,54,66,81,81,81,81,81,54,81,81]",2026-02-04,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
astra opel 2014,1,1,390,21,0.08,https://llantasneumaticos.com/size/opel/astra/2014/,16,0.19,1.00,0.82,67600000,"[54,81,81,81,81,81,66,81,81,81,81,81]",2026-02-07,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Image pack
corsa 2003 opel,1,0,390,18,0.00,https://llantasneumaticos.com/size/opel/corsa/2003/,16,0.19,0.00,0.04,88100000,"[81,81,100,66,81,81,81,81,66,81,0,66]",2026-03-31,"Image pack, Video, Image, Related searches",informational,Image pack
ford fiesta 2002,1,1,390,21,0.00,https://llantasneumaticos.com/size/ford/fiesta/2002/,16,0.19,0.00,0.24,63800000,"[81,66,66,66,54,66,66,100,81,66,66,81]",2026-03-02,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
vitara suzuki 1998,1,1,390,12,0.00,https://llantasneumaticos.com/size/suzuki/vitara/1998/,16,0.19,0.00,0.08,15300000,"[44,66,81,100,66,81,54,66,66,81,81,54]",2026-02-14,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
hyundai tiburón,1,1,390,20,1.48,https://llantasneumaticos.com/size/hyundai/tiburon/,16,0.19,23.00,0.1,938000,"[67,15,7,67,67,67,10,23,23,100,23,19]",2026-01-31,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
mazda 6 2008,1,6,390,0,0.15,https://llantasneumaticos.com/size/mazda/mazda6/2008/,16,0.19,2.00,0.1,0,"[44,44,100,44,44,44,66,66,54,44,44,36]",2026-03-31,Image pack,informational,Image pack
accent 2000,1,1,390,19,0.10,https://llantasneumaticos.com/size/hyundai/accent/2000/,16,0.19,1.00,0.02,0,"[81,81,100,66,81,81,81,81,81,100,81,81]",2026-03-16,"Image pack, Video, Image, Related searches","informational, transactional",Image pack
accent 2000,1,1,390,19,0.10,https://llantasneumaticos.com/size/hyundai/accent/2000/,16,0.19,1.00,0.02,0,"[81,81,100,66,81,81,81,81,81,100,81,81]",2026-03-16,"Image pack, Video, Image, Related searches","informational, transactional",Image pack
serie 70 land cruiser,1,1,390,18,0.00,https://llantasneumaticos.com/size/toyota/land-cruiser/70-series-2023-now/,16,0.19,0.00,0.05,7110000,"[66,81,66,66,35,28,35,66,100,66,81,66]",2026-02-11,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
suzuki vitara 1995,1,1,390,12,0.00,https://llantasneumaticos.com/size/suzuki/vitara/1995/,16,0.19,0.00,0.03,122,"[66,66,66,66,66,54,66,100,81,66,66,54]",2026-03-19,"Image pack, Video, Image, Related searches",informational,Image pack
fort focus 2001,1,1,390,22,0.05,https://llantasneumaticos.com/size/ford/focus/2001/,16,0.19,0.00,0.04,224000000,"[100,100,100,100,100,100,100,81,0,100,100,0]",2026-02-08,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
honda prelude 92,1,1,720,19,0.00,https://llantasneumaticos.com/size/honda/prelude/1992/,15,0.17,0.00,0.01,8300000,"[36,45,45,45,45,36,30,45,67,76,100,67]",2026-02-05,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
2014 ford escort,1,1,720,21,0.08,https://llantasneumaticos.com/size/ford/escort/2014/,15,0.17,1.00,0.87,46600000,"[81,100,67,81,81,67,81,100,67,67,67,67]",2026-02-11,"Image pack, Video, Image, People also ask, AI overview",informational,Image pack
2007 volkswagen bora,1,1,110,25,0.02,https://llantasneumaticos.com/size/volkswagen/bora/2007/,14,0.16,0.00,0.09,0,"[52,66,80,66,0,66,0,66,80,66,66,66]",2026-03-14,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Image pack
nissan almera 2006,1,1,110,23,0.20,https://llantasneumaticos.com/size/nissan/almera-classic/2006/,14,0.16,2.00,0.07,0,"[78,78,78,78,78,64,100,100,78,78,78,64]",2026-03-18,"Image pack, Video, Image, Related searches",informational,Image pack
medida neumatico,7,7,590,19,0.11,https://llantasneumaticos.com/,14,0.16,1.00,0.06,0,"[81,66,100,81,100,81,81,54,66,66,54,54]",2026-03-19,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
hyundai accent 2000,1,1,320,21,0.00,https://llantasneumaticos.com/size/hyundai/accent/2000/,13,0.15,0.00,0.05,44700000,"[44,44,36,36,36,44,44,44,54,36,54,54]",2026-02-20,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
volkswagen polo classic,1,1,320,17,0.00,https://llantasneumaticos.com/size/volkswagen/polo-classic/,13,0.15,0.00,0.09,46500000,"[32,39,39,32,32,32,32,39,39,32,26,26]",2026-01-29,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
renault megane 2002,1,1,320,20,0.21,https://llantasneumaticos.com/size/renault/megane/2002/,13,0.15,2.00,0.09,45400000,"[66,66,43,81,66,66,66,66,100,81,81,81]",2026-02-04,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Image pack
passat vw 2000,1,1,320,18,0.09,https://llantasneumaticos.com/size/volkswagen/passat/b5-1996-2000/,13,0.15,1.00,0.01,0,"[82,66,100,82,82,100,100,100,82,100,66,0]",2026-03-11,"Image pack, Video, Image, Related searches","informational, transactional",Image pack
sportrac,1,1,50,25,0.00,https://llantasneumaticos.com/size/ford/explorer-sport-trac/,13,0.15,0.00,0,28600000,"[2,0,10,14,14,18,22,14,2,8,8,4]",2026-03-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Image pack
citroen c4 2010,2,2,1000,19,0.18,https://llantasneumaticos.com/size/citroen/c4/2010/,13,0.15,2.00,0.28,0,"[76,67,76,76,76,67,76,100,76,76,67,67]",2026-03-08,"Image pack, Image, Related searches",informational,Image pack
golf 2003,1,1,320,22,0.01,https://llantasneumaticos.com/size/volkswagen/golf/2003/,13,0.15,0.00,0.13,369000000,"[36,36,54,23,29,44,44,29,36,54,36,36]",2026-02-01,"Image pack, Video, Image, People also ask, Related searches",informational,Image pack
crv 2006,1,1,320,19,0.04,https://llantasneumaticos.com/size/honda/cr-v/2006/,13,0.15,0.00,0.07,0,"[54,35,44,54,35,54,44,44,44,44,44,100]",2026-03-13,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Image pack
transit ford 2005,1,1,320,17,0.09,https://llantasneumaticos.com/size/ford/transit-connect/2005/,13,0.15,1.00,0.03,143000000,"[66,54,100,54,66,54,81,54,66,81,54,54]",2026-03-25,"Image pack, Video, Image, Related searches","informational, transactional",Image pack
